from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P7-9_A6-7_C1,P7-9_A6-7_C1,17,0.08585859,0.06611018,1.29871952,13.258,3.24043776,1.154782,0.16367265,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A5_C1,P5-6_A6-7_C1,13,0.11926606,0.08981636,1.32788786,9.732,2.90051754,1.126695,0.19760479,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P<=4_A4_C0,21,0.12727273,0.10317195,1.23359812,16.87,3.86094727,1.069686,0.18363273,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C1,25,0.08090615,0.06611018,1.22380766,20.484,4.24945405,1.062725,0.17964072,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A6-7_C0,13,0.05909091,0.04440735,1.33065619,9.93,3.00652264,1.021113,0.20558882,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A6-7_C1,18,0.08181818,0.06611018,1.23760331,14.668,3.45393041,0.964698,0.20958084,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A6-7_C1,23,0.10454545,0.08981636,1.16399121,19.488,3.83134629,0.916649,0.22355289,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A8+_C1,19,0.08636364,0.07345576,1.17572314,15.876,3.67690948,0.849627,0.24351297,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P7-9_A8+_C1,23,0.0858209,0.07345576,1.16833446,19.548,4.17739119,0.826353,0.24550898,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C2,20,0.06472492,0.05509182,1.17485535,17.12,3.76429806,0.765083,0.27744511,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C2,20,0.07518797,0.06310518,1.19147074,17.116,3.88287231,0.742749,0.26347305,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,31,0.11654135,0.10317195,1.12958367,27.76,4.63177143,0.699516,0.27145709,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,13,0.0420712,0.03472454,1.21156958,10.684,3.39812279,0.681553,0.30339321,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C2,17,0.06390977,0.05509182,1.16005924,14.668,3.46493688,0.673028,0.28742515,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P10-12_A8+_C2,19,0.07089552,0.06310518,1.12345021,16.778,3.91911149,0.566965,0.30738523,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C1,21,0.07894737,0.07345576,1.07476077,19.376,4.04417293,0.401565,0.39121756,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P7-9_A8+_C1,16,0.08080808,0.07345576,1.10009183,14.778,3.52896915,0.346277,0.41317365,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A8+_C2,13,0.05909091,0.05509182,1.07258953,12.092,3.0923553,0.293627,0.43712575,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A4_C0,21,0.10606061,0.10317195,1.02799843,20.382,4.17359723,0.148074,0.50299401,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P5-6_A6-7_C1,18,0.09090909,0.08981636,1.01216627,17.9,3.80564921,0.026277,0.54690619,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P<=4_A4_C0,22,0.1,0.10317195,0.96925566,22.466,4.52966663,-0.102877,0.54491018,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C1,17,0.06390977,0.06611018,0.96671603,17.562,4.03419204,-0.139309,0.6007984,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P5-6_A6-7_C1,14,0.08484848,0.08981636,0.94468852,14.908,3.62018611,-0.250816,0.6506986,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A3_C0,26,0.08414239,0.0884808,0.95096782,27.282,4.87832678,-0.262795,0.63073852,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C1,22,0.08270677,0.08981636,0.920843,23.786,4.55122305,-0.392422,0.68862275,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
