source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
segol,darga,1,0.01470588,0.00478469,0,1,inf,1.11205,0.89924,deuteronomy,control_exclude_meteg,full
tevir,sof_pasuq,1,0.00209644,0.00104822,30,-29,0.03333333,35.607042,0.028084,deuteronomy,control_exclude_meteg,full
segol,telisha_qetana,1,0.01470588,0.00847458,0,1,inf,0.627856,1.592722,deuteronomy,control_exclude_meteg,full
tevir,telisha_qetana,1,0.00209644,0.00847458,0,1,inf,4.404225,0.227055,deuteronomy,control_exclude_meteg,full
telisha_qetana,merkha,1,0.00847458,0.00062539,2,-1,0.5,14.76385,0.067733,deuteronomy,control_exclude_meteg,full
merkha,qadma,1,0.00062539,0.00227273,44,-43,0.02272727,55.051643,0.018165,deuteronomy,control_exclude_meteg,full
qadma,tipeha,1,0.00227273,0.00053908,3,-2,0.33333333,63.865415,0.015658,deuteronomy,control_exclude_meteg,full
tipeha,geresh,1,0.00053908,0.00408163,0,1,inf,35.561424,0.02812,deuteronomy,control_exclude_meteg,full
pazer,mahapakh,1,0.02857143,0.0017452,0,1,inf,1.569249,0.637248,deuteronomy,control_exclude_meteg,full
pazer,merkha,1,0.02857143,0.00062539,0,1,inf,4.379108,0.228357,deuteronomy,control_exclude_meteg,full
munah,tipeha,1,0.00055188,0.00053908,369,-368,0.00271003,263.00939,0.003802,deuteronomy,control_exclude_meteg,full
tipeha,zinor,1,0.00053908,0.01515152,1,0,1.0,9.579812,0.104386,deuteronomy,control_exclude_meteg,full
atnah,segol,1,0.00109649,0.01470588,0,1,inf,4.852582,0.206076,deuteronomy,control_exclude_meteg,full
pashta,atnah,1,0.00082102,0.00109649,129,-128,0.00775194,86.91831,0.011505,deuteronomy,control_exclude_meteg,full
munah,tevir,1,0.00055188,0.00209644,0,1,inf,67.630986,0.014786,deuteronomy,control_exclude_meteg,full
zaqef_qatan,zinor,1,0.0007734,0.01515152,0,1,inf,6.677465,0.149757,deuteronomy,control_exclude_meteg,full
zinor,tipeha,1,0.01515152,0.00053908,1,0,1.0,9.579812,0.104386,deuteronomy,control_exclude_meteg,full
segol,sof_pasuq,1,0.01470588,0.00104822,0,1,inf,5.076056,0.197003,deuteronomy,control_exclude_meteg,full
pashta,geresh,1,0.00082102,0.00408163,0,1,inf,23.349765,0.042827,deuteronomy,control_exclude_meteg,full
geresh,zaqef_qatan,1,0.00408163,0.0007734,1,0,1.0,24.787559,0.040343,deuteronomy,control_exclude_meteg,full
telisha_qetana,mahapakh,1,0.00847458,0.0017452,0,1,inf,5.29061,0.189014,deuteronomy,control_exclude_meteg,full
mahapakh,qadma,1,0.0017452,0.00227273,102,-101,0.00980392,19.7277,0.05069,deuteronomy,control_exclude_meteg,full
zaqef_qatan,sof_pasuq,1,0.0007734,0.00104822,1,0,1.0,96.519718,0.010361,deuteronomy,control_exclude_meteg,full
paseq,sof_pasuq,1,0.01219512,0.00104822,0,1,inf,6.121127,0.163369,deuteronomy,control_exclude_meteg,full
