from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A5_C1,P7-9_A8+_C2,12,0.08108108,0.03533418,2.29469228,5.148,2.13429295,3.210431,0.00798403,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A6-7_C1,10,0.08064516,0.03192848,2.52580645,4.02,1.91178184,3.127972,0.00399202,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A2_C0,10,0.12987013,0.06087697,2.13332122,4.69,2.04505856,2.596503,0.00998004,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P7-9_A6-7_C2,10,0.06756757,0.03235419,2.08837127,4.894,2.21462709,2.30558,0.04191617,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P10-12_A8+_C3,P<=4_A3_C0,11,0.2,0.10344828,1.93333333,5.69,2.33082937,2.278159,0.03393214,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P<=4_A3_C0,20,0.15267176,0.10344828,1.47582697,13.518,3.42126967,1.894618,0.03193613,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P<=4_A3_C0,12,0.16,0.10344828,1.54666667,7.478,2.54370928,1.777719,0.06387226,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A6-7_C1,20,0.13986014,0.10259685,1.36320111,14.748,3.45664473,1.519392,0.09381238,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,19,0.13286713,0.10344828,1.28438228,14.694,3.42693036,1.256518,0.14770459,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A5_C1,19,0.07883817,0.06300553,1.25128967,15.092,3.45940326,1.129675,0.17165669,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P<=4_A3_C0,30,0.12448133,0.10344828,1.2033195,25.046,4.63971312,1.067738,0.15369261,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P5-6_A5_C1,10,0.08474576,0.06300553,1.34505268,7.302,2.61082915,1.033388,0.19161677,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A8+_C1,10,0.04149378,0.03107705,1.33519013,7.35,2.60019654,1.019154,0.18962076,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A3_C0,19,0.12751678,0.10344828,1.23266219,15.436,3.7128796,0.959902,0.19760479,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A4_C0,12,0.08108108,0.06385696,1.26972973,9.406,3.08937737,0.839651,0.25349301,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P7-9_A6-7_C1,10,0.12987013,0.10259685,1.26582961,7.9,2.58211825,0.813286,0.26546906,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P10-12_A8+_C1,11,0.04526749,0.03703704,1.22222222,8.846,2.6916117,0.800264,0.26147705,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A4_C0,10,0.08064516,0.06385696,1.26290323,7.83,2.77064124,0.783212,0.25149701,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A4_C1,P<=4_A3_C0,9,0.13235294,0.10344828,1.27941176,7.234,2.35591695,0.749602,0.27345309,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P7-9_A6-7_C1,15,0.12096774,0.10259685,1.17905903,12.846,3.09991984,0.694857,0.30339321,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,9,0.07258065,0.06087697,1.1922513,7.384,2.55844392,0.631634,0.32335329,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,17,0.06995885,0.06087697,1.14918415,14.758,3.70552261,0.605043,0.30139721,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P7-9_A6-7_C1,15,0.11450382,0.10259685,1.11605587,13.136,3.18776217,0.584736,0.31536926,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,9,0.06293706,0.05278842,1.1922513,7.752,2.5713264,0.485353,0.37724551,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C2,P7-9_A6-7_C1,9,0.11842105,0.10259685,1.15423673,7.808,2.49069129,0.478582,0.37924152,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
