from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A6-7_C1,P10-12_A8+_C1,5,0.0257732,0.04272802,0.60319191,8.36,2.7357517,-1.228182,0.94023904,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A8+_C1,5,0.03623188,0.06080526,0.59586761,8.428,2.70593873,-1.266843,0.94023904,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A6-7_C0,4,0.02898551,0.05176664,0.55992639,7.248,2.50511445,-1.296548,0.94820717,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,7,0.05555556,0.08833196,0.62894057,11.148,3.15689085,-1.313951,0.92828685,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A8+_C1,4,0.03174603,0.06080526,0.52209352,7.608,2.65225826,-1.36035,0.9561753,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C1,12,0.05581395,0.08011504,0.69667263,17.532,3.8382162,-1.441295,0.9561753,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A6-7_C1,4,0.04255319,0.08011504,0.53115112,7.58,2.45022743,-1.461089,0.94422311,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C1,8,0.0372093,0.06080526,0.61194217,13.092,3.22694728,-1.577962,0.98804781,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C1,P<=4_A3_C0,5,0.04807692,0.09449466,0.50877926,10.028,3.09864849,-1.622643,0.97211155,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A6-7_C1,6,0.04347826,0.08011504,0.54269788,10.804,2.95032229,-1.628297,0.97609562,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,4,0.01860465,0.03861956,0.48174171,8.4,2.66616461,-1.650311,0.97211155,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C1,5,0.02173913,0.04272802,0.50877926,9.88,2.87657762,-1.69646,0.98406375,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A6-7_C1,6,0.04054054,0.08011504,0.50602911,11.864,3.31200567,-1.770528,0.97609562,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C2,6,0.02608696,0.04847987,0.53809875,11.22,2.9458977,-1.771956,0.98406375,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C1,7,0.03043478,0.06532457,0.46590101,14.88,3.58286865,-2.199355,0.99601594,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A4_C0,9,0.04186047,0.08833196,0.47389941,18.832,3.88847747,-2.528496,1.0,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P14_A14_C2,P6_A7_C2,10,0.76923077,0.00698439,110.13574661,0.112,0.31599908,31.29123,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P3_A4_C1,P3_A3_C1,7,0.31818182,0.00328677,96.80681818,0.068,0.25225091,27.480575,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P2_A4_C0,P2_A2_C0,19,0.79166667,0.02423993,32.65960452,0.604,0.78078325,23.560956,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A7_C2,P6_A7_C0,9,0.52941176,0.00944947,56.02557545,0.164,0.39206999,22.536793,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A7_C0,P11_A10_C1,9,0.39130435,0.00698439,56.02557545,0.176,0.39196754,22.512068,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P3_A3_C1,P3_A4_C1,5,0.625,0.00903862,69.14772727,0.068,0.26769881,18.423691,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P9_A11_C3,P3_A4_C1,3,0.6,0.00903862,66.38181818,0.036,0.1866638,15.878815,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P2_A2_C0,P2_A4_C0,12,0.20338983,0.00986031,20.62711864,0.644,0.79485292,14.28692,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P11_A10_C1,P4_A4_C0,9,0.52941176,0.0398521,13.2844148,0.58,0.71388974,11.794539,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A6_C1,P9_A10_C2,9,0.11538462,0.00780608,14.78137652,0.588,0.74597716,11.276485,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P4_A4_C0,P12_A12_C1,6,0.06185567,0.00410846,15.0556701,0.368,0.5813155,9.688371,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
