current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
qadma,zaqef_qatan,21,28.176,5.169378,29,-1.388175,True,0.93413174,467,500,leviticus,main,full
meteg,revia,30,38.386,5.65304501,32,-1.483448,True,0.94211577,471,500,leviticus,main,full
meteg,mahapakh,38,55.75,7.05798344,41,-2.514883,True,0.99201597,496,500,leviticus,main,full
meteg,tipeha,93,205.596,11.61544753,59,-9.693643,True,1.0,500,500,leviticus,main,full
meteg,zaqef_qatan,69,120.944,10.4071842,55,-4.991168,True,1.0,500,500,leviticus,main,full
munah,meteg,67,167.08,12.10630932,65,-8.266764,True,1.0,500,500,leviticus,main,full
meteg,merkha,64,168.76,11.22579337,59,-9.33208,True,1.0,500,500,leviticus,main,full
atnah,meteg,54,99.744,9.19192292,49,-4.976543,True,1.0,500,500,leviticus,main,full
zaqef_qatan,munah,50,112.802,9.69984381,50,-6.474537,True,1.0,500,500,leviticus,main,full
sof_pasuq,meteg,49,105.88,9.0381955,48,-6.293292,True,1.0,500,500,leviticus,main,full
