from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P2_A3_C0,P2_A3_C0,20,0.07782101,0.05700976,1.36504716,exodus,minor,transition_exact_shape,taam_events
P3_A4_C0,P5_A5_C0,19,0.04645477,0.05323869,0.87257539,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P2_A3_C0,19,0.04185022,0.05700976,0.73408869,exodus,minor,transition_exact_shape,taam_events
P4_A5_C0,P3_A3_C0,19,0.10982659,0.14396628,0.76286328,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P5_A4_C0,18,0.03964758,0.04436557,0.89365639,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P2_A3_C0,18,0.06060606,0.05700976,1.06308218,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P4_A4_C0,18,0.075,0.10070985,0.74471366,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P3_A4_C0,17,0.06614786,0.0907276,0.72908204,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A3_C0,17,0.05723906,0.06588287,0.86880024,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P5_A4_C0,17,0.07083333,0.04436557,1.59658333,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A4_C0,17,0.02619414,0.04436557,0.59041602,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P4_A3_C0,17,0.06614786,0.06588287,1.00402206,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P5_A5_C0,17,0.06614786,0.05323869,1.2424773,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P5_A4_C0,17,0.06614786,0.04436557,1.49097276,exodus,minor,transition_exact_shape,taam_events
P6_A6_C0,P3_A3_C0,16,0.15686275,0.14396628,1.08957975,exodus,minor,transition_exact_shape,taam_events
P1_A1_C0,P4_A3_C0,16,0.06926407,0.06588287,1.05132129,exodus,minor,transition_exact_shape,taam_events
P5_A6_C0,P2_A2_C0,16,0.17391304,0.11091393,1.568,exodus,minor,transition_exact_shape,taam_events
P5_A4_C0,P5_A5_C0,15,0.075,0.05323869,1.40875,exodus,minor,transition_exact_shape,taam_events
P1_A1_C0,P4_A5_C0,15,0.06493506,0.03837622,1.69206516,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P3_A4_C0,15,0.0625,0.0907276,0.68887531,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P3_A2_C0,15,0.05050505,0.03149956,1.60335752,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P6_A5_C0,15,0.02311248,0.02018634,1.14495674,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P4_A5_C0,15,0.03,0.03837622,0.7817341,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P1_A1_C0,14,0.028,0.05102041,0.5488,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P4_A5_C0,14,0.04713805,0.03837622,1.22831397,exodus,minor,transition_exact_shape,taam_events
